0,747,9
1,4257,37
1,2194,32
1,580,11
1,6478,32
1,1222,25
1,5735,18
1,7146,14
1,2204,34
1,126,16
1,2639,21
2,562,12
2,1492,12
2,6,25
2,5303,22
2,7128,15
2,4154,16
2,5179,9
3,1728,25
3,4560,28
3,5060,37
3,1351,23
3,6503,22
3,7089,33
3,4319,50
3,6095,32
3,272,22
3,4433,37
3,2900,21
3,3381,54
3,5943,23
3,2107,22
3,6940,25
3,2013,25
3,6046,26
3,5823,37
4,5770,6
5,5454,73
6,5856,30
6,667,49
6,6180,33
6,598,27
6,870,25
6,3079,27
6,1834,33
6,6283,26
6,7340,28
6,7279,26
6,342,25
6,1492,22
6,4405,21
6,1462,38
6,7128,24
6,1284,24
6,1551,27
6,3291,25
6,167,35
7,177,15
7,6243,9
7,7589,12
7,2854,126
7,6931,21
7,6250,14
7,428,9
7,2142,25
8,1686,4
9,4481,9
9,1795,56
9,2660,11
9,6053,9
9,246,10
9,3843,10
9,6441,21
9,366,10
10,5489,7
11,5240,10
11,618,11
11,2412,14
11,1325,17
11,4919,24
12,5274,103
12,3807,24
13,1794,40
13,3971,34
13,1223,50
13,6152,33
13,5385,30
13,1509,71
13,524,176
13,4770,39
13,1937,113
13,7315,36
13,1817,48
13,6298,38
13,2266,36
13,3557,48
13,5857,90
13,866,50
13,2789,31
13,3559,40
13,4904,57
13,6565,34
13,5355,50
13,620,30
13,110,100
13,2835,66
13,3316,32
13,6712,80
13,1850,55
13,4860,50
13,4606,42
14,5862,20
14,2155,10
14,6438,9
14,3086,16
15,3530,179
15,7580,27
15,3029,8
15,5274,104
15,4375,16
16,7296,46
16,2626,55
16,131,51
16,6323,77
16,1799,76
16,3103,103
16,5578,126
16,7435,54
16,1677,95
16,5072,45
16,4008,41
16,3410,64
16,6446,93
16,4184,38
16,5725,85
16,1349,74
16,5088,35
16,6544,63
16,2530,38
16,1956,74
16,38,40
16,550,67
16,6567,53
16,4968,43
16,1005,98
16,6126,59
16,1905,48
16,3699,36
16,773,35
16,1016,45
16,2751,45
16,3324,42
16,766,57
16,6101,139
17,6105,61
17,4242,16
17,7237,218
17,1334,74
17,951,65
17,1337,10
17,3165,40
18,6372,28
18,4042,46
18,3596,37
18,7185,27
18,5139,35
18,615,34
18,2788,30
18,3163,37
18,5534,61
18,4319,57
18,6816,28
18,6436,42
18,421,43
18,4775,33
18,1384,74
18,3755,58
18,3820,30
18,4212,37
18,478,28
18,6136,31
18,6399,36
18,3581,33
18,7614,29
18,4085,38
19,2625,5
19,2692,7
19,1501,6
19,6703,11
20,2689,9
20,1316,42
20,5941,9
20,4151,22
20,4462,9
20,6463,26
21,3026,5
21,5764,23
22,5127,120
23,4248,23
23,7317,13
23,1854,13
23,646,11
23,3493,9
24,3643,13
25,3544,101
26,5345,4
27,4066,8
27,6339,44
27,1558,21
27,1896,14
27,4329,31
27,6396,12
27,3565,36
28,7224,74
28,1658,39
28,4900,103
29,4626,12
29,907,29
29,2838,29
29,7287,16
29,543,40
29,7579,39
29,6652,21
29,2711,40
30,7075,39
30,2644,33
30,3525,10
30,924,18
30,683,19
30,3499,31
30,5564,36
30,5854,102
31,1457,12
31,5274,104
31,3418,27
32,3136,29
32,1312,52
32,2195,24
32,5676,32
32,4845,15
32,1166,30
32,3155,22
32,6196,18
32,6709,28
32,5206,21
32,4187,24
32,1020,25
32,607,23
33,2626,52
33,2566,42
33,4040,32
33,2745,46
33,6859,41
33,4814,30
33,1875,54
33,1300,53
33,3221,40
33,407,34
33,3740,25
33,2170,50
33,3103,93
33,7074,33
33,5095,78
33,5617,25
33,2420,40
33,1973,49
33,4308,28
33,6101,130
33,3452,27
33,765,35
33,1150,57
33,213,60
34,2944,19
34,4408,13
34,5875,12
34,4717,9
34,3927,11
35,6747,13
35,7035,18
35,5283,14
35,4246,19
35,6887,35
35,2040,15
35,6475,16
35,4235,19
35,2301,11
35,2045,19
36,719,7
37,3991,20
38,6288,10
38,3794,8
38,1956,51
38,7565,30
38,2637,40
38,3023,13
39,1349,57
39,5095,68
40,5564,32
40,4908,32
40,1381,79
40,1678,36
41,1958,25
41,5414,19
41,3591,12
41,3562,8
41,524,176
41,3950,13
41,6287,8
42,3592,8
42,4335,43
42,2647,12
43,4681,9
43,2893,7
44,7042,14
44,3701,64
44,6870,45
44,7226,67
44,6507,12
44,6234,32
